Sample_Id,Latitude,Longitude,Midpoint_Date_Local,Year,Month,Chlorophyll_Index,101,102,103,108,112,113,116,117,121,122,123,124,125,126,127,128,130,157,165,166,168,169,175,177,187,195,198,199,224,251,255,259,812,814,980,1000,1001,1602,1612,1624,1679,10509,10510,10513,10527,10615,10620,10623,10624,10684,10712
469MC-1,43.367,-65.405,5/13/16 17:43,2016,5,2,0,0,35000,0,0,0,0,0,15000,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-3,43.4,-65.862,5/13/16 18:58,2016,5,2,0,0,35000,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-5,43.432,-66.317,5/13/16 20:13,2016,5,2,0,0,15000,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-7,43.462,-66.775,5/13/16 21:29,2016,5,1,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-9,43.49,-67.233,5/13/16 22:42,2016,5,1,0,0,35000,0,0,0,0,0,0,0,0,15000,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-11,43.515,-67.69,5/13/16 23:58,2016,5,1,0,0,130000,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-13,43.54,-68.15,5/14/16 1:12,2016,5,1,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-15,43.562,-68.608,5/14/16 2:28,2016,5,1,0,0,65000,0,35000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469MC-17,43.583,-69.067,5/14/16 3:42,2016,5,1,0,0,15000,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,15000,0,0,0,0,0
469MC-19,43.602,-69.527,5/14/16 4:58,2016,5,1,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
